"Cestna vozila konec leta (31.12.) glede na vrsto vozila in obèino, Slovenija, letno"

"VRSTA VOZILA","OBÈINE","2007","2008","2009","2010","2011","2012","2013","2014"
"Vozila - SKUPAJ","Šmartno ob Paki",1871,1957,2022,2066,2106,2175,2245,2272
"Vozila - SKUPAJ","Šmartno pri Litiji",3455,3625,3727,3792,3886,3917,3971,4008
"Vozila - SKUPAJ","Šoštanj",5089,5377,5501,5640,5727,5830,5793,5840
"Vozila - SKUPAJ","Štore",2450,2608,2591,2666,2733,2720,2712,2757
"Vozila - SKUPAJ","Tabor",1002,1057,1093,1143,1150,1190,1198,1231
"Vozila - SKUPAJ","Tišina",2795,2948,3038,3041,3088,3136,3127,3136
"Vozila - SKUPAJ","Tolmin",7707,7991,8097,8181,8289,8292,8265,8349
"Vozila - SKUPAJ","Trbovlje",9038,9443,9552,9336,9208,9192,9069,9055
"Vozila - SKUPAJ","Trebnje",13728,13771,13062,12443,11968,10675,10347,10253
"Vozila - SKUPAJ","Trnovska vas",875,930,975,982,1011,1020,1033,1056
"Vozila - SKUPAJ","Trzin",3611,3795,3687,3791,3762,3698,3710,3880
"Vozila - SKUPAJ","Tržiè",8961,9308,9548,9471,9543,9563,9600,9730
"Vozila - SKUPAJ","Turnišèe",2012,2118,2166,2224,2274,2275,2289,2300
"Vozila - SKUPAJ","Velenje",18457,19343,19407,19192,19210,19238,19095,18980
"Vozila - SKUPAJ","Velika Polana",1063,1093,1128,1134,1139,1161,1180,1220
"Vozila - SKUPAJ","Velike Lašèe",2774,2939,3022,3043,3119,3144,3183,3242
"Vozila - SKUPAJ","Veržej",948,967,968,972,995,983,990,1009
"Vozila - SKUPAJ","Videm",3557,3726,3831,3940,4032,4085,4111,4175
"Vozila - SKUPAJ","Vipava",4134,4281,4419,4444,4497,4519,4570,4629
"Vozila - SKUPAJ","Vitanje",1360,1436,1501,1524,1564,1571,1591,1599
"Vozila - SKUPAJ","Vodice",3115,3284,3449,3482,3597,3696,3757,3794
"Vozila - SKUPAJ","Vojnik",5185,5473,5709,5855,5942,6112,6217,6372
"Vozila - SKUPAJ","Vransko",1635,1751,1816,1840,1860,1945,1806,1863
"Vozila - SKUPAJ","Vrhnika",11503,11465,11352,11089,11061,11204,11213,11237
"Vozila - SKUPAJ","Vuzenica",1672,1720,1756,1791,1808,1833,1828,1880
"Vozila - SKUPAJ","Zagorje ob Savi",9426,9874,10062,10192,10254,10300,10271,10430
"Vozila - SKUPAJ","Zavrè",864,957,957,957,1024,1026,1087,1102
"Vozila - SKUPAJ","Zreèe",4163,4352,4471,4538,4642,4708,4754,4852
"Vozila - SKUPAJ","Žalec",13364,14066,14387,14629,14746,14794,14764,15070
"Vozila - SKUPAJ","Železniki",3992,4172,4233,4321,4401,4475,4507,4566
"Vozila - SKUPAJ","Žetale",852,915,955,945,967,992,1015,1047
"Vozila - SKUPAJ","Žiri",3025,3167,3216,3297,3328,3317,3356,3425
"Vozila - SKUPAJ","Žirovnica",2754,2891,2953,3027,3060,3078,3064,3125
"Vozila - SKUPAJ","Žužemberk",2925,3096,3174,3274,3395,3530,3574,3643
